Profile Number,Job Title,Experience Level,Skills,Education,Certificates,Projects
65,Accounting Systems Analyst,3–7 years,Experience with ERP systems and reporting tools | Analytical and problem-solving skills,"Degree in Accounting, Finance, or Information Systems | Strong understanding of accounting processes",,
66,Accounting Manager,6–10 years,ERP and advanced Excel knowledge,Degree in Accounting or Finance; CA/CMA preferred | Strong accounting and people-management skills,,
67,Finance Manager,7–12 years,Strong analytical and leadership skills,Finance or Accounting degree; MBA/CA preferred,Advanced financial modeling and reporting expertise,
68,Accounts Manager,6–10 years,Team management experience,Accounting or Commerce degree; CA preferred | Strong compliance and accounting knowledge,,
69,Head of Accounts,10–15 years,Strong leadership and compliance expertise,Experience with large-scale accounting operations,CA/CMA qualification preferred,
70,Head of Finance,12–18 years,Strategic thinking and leadership skills | Strong stakeholder and board-level communication,CA/MBA in Finance preferred,,
71,Financial Controller,10–15 years,,,CA/CPA/CMA qualification | Strong financial reporting and control expertise | Experience managing complex financial operations,
72,Group Financial Controller,12–18 years,Strong consolidation and group reporting experience | Advanced ERP and reporting knowledge,,CA/CPA qualification preferred,
73,Director of Finance,15–20 years,Strong strategic and leadership capabilities | Experience with board-level governance,CA/MBA in Finance preferred,,
74,Chief Financial Officer (CFO),15–25+ years,"Exceptional leadership and strategic thinking | Strong experience with growth, M&A, and governance",CA/CPA/MBA in Finance,,
75,Public Practice Accountant,3–8 years,Strong client-handling and compliance knowledge | Multi-client and time-management skills,Accounting/Commerce degree; CA preferred,,
76,Chartered Accountant (CA),Fresh CA to 15+ years (role dependent),Qualified Chartered Accountant (CA) | Strong technical and analytical expertise | Ethical and professional judgment,,,
77,Description,3–10 years,Manufacturing or operations exposure preferred,Strong cost accounting and analytical skills,CMA qualification,
78,Description,4–10 years,Qualified Company Secretary (CS) | Strong documentation and advisory skills,"Knowledge of finance, compliance, and governance",,
79,Banking Accountant,3–8 years,Knowledge of banking regulations and systems | Strong reconciliation and reporting skills,Degree in Accounting or Finance,,
80,Insurance Accountant,3–7 years,Attention to detail and accuracy,Accounting/Finance degree | Knowledge of insurance accounting and regulations,,
81,Real Estate Accountant,3–8 years,,Accounting or Finance degree | Knowledge of real estate accounting and taxation | Project accounting experience preferred,,
82,Manufacturing Cost Accountant,4–10 years,Strong analytical skills,CMA or Cost Accounting qualification | Manufacturing and inventory accounting expertise,,
83,NGO / Trust Accountant,2–6 years,High integrity and transparency,Accounting/Finance degree | Knowledge of nonprofit accounting and compliance,,
84,Government Accountant,3–10 years,Strong documentation and compliance skills,Degree in Accounting or Finance | Knowledge of government accounting standards,,
85,Freelance Accountant,Not Specified,"Experience with Tally, QuickBooks, Zoho Books, or similar tools | Ability to manage multiple clients independently | Strong communication and time management skills","Degree in Accounting, Commerce, or Finance (CA/CMA preferred) | Strong knowledge of accounting standards and taxation",,
86,Virtual Accountant,Not Specified,Knowledge of remote collaboration tools | Excellent written and verbal communication skills | Self-discipline and remote work capability,Strong experience in cloud-based accounting software | Understanding of Indian accounting and tax regulations,,
87,Outsourced Accounting Consultant,Not Specified,Strong advisory and consulting background | Strong analytical and stakeholder management skills,CA/CMA/MBA Finance preferred | Experience managing finance operations for multiple clients | Knowledge of ERP and accounting systems,,
88,Tax Consultant,Not Specified,Strong knowledge of direct tax laws | Experience in tax filings and assessments | Analytical and problem-solving skills | Client advisory and documentation skills,,"CA, CMA, or qualified tax professional",
89,GST Consultant,Not Specified,Strong expertise in GST laws and procedures | Practical experience with GST portals and filings | Attention to detail and compliance accuracy | Ability to explain GST concepts clearly to clients,CA/CMA/Commerce graduate with GST certification preferred,,
